,Number of characters per page,Number of pages,"Time, [s]",Run,Speed in pages per second
0,500,10000,29.57171893119812,1,338.1609308294221
1,1000,10000,25.67323589324951,1,389.51069672636737
2,1500,10000,29.651811122894287,1,337.2475279352821
3,2000,10000,32.16538095474243,1,310.89325551810725
4,2500,10000,34.23295736312866,1,292.1161585288776
5,3000,10000,32.472291231155396,1,307.95486308048214
6,3500,10000,35.15292000770569,1,284.47138951210746
7,4000,10000,35.92539978027344,1,278.3545920480189
8,4500,10000,39.63311052322388,1,252.31428641313136
9,5000,10000,38.834564208984375,1,257.50256771740726
10,5500,10000,41.820791721343994,1,239.11551140951548
11,6000,10000,46.24496650695801,1,216.23975008167434
12,500,10000,37.09495663642883,2,269.5784253911103
13,1000,10000,31.1665461063385,2,320.8568561264557
14,1500,10000,31.360644578933716,2,318.87099689007755
15,2000,10000,30.03756093978882,2,332.91651143198
16,2500,10000,31.39077377319336,2,318.5649411592286
17,3000,10000,36.571226835250854,2,273.4390083507136
18,3500,10000,38.12963080406189,2,262.2632265019129
19,4000,10000,38.32675266265869,2,260.9143562987762
20,4500,10000,41.50352168083191,2,240.94340901722626
21,5000,10000,39.215473890304565,2,255.00138103577396
22,5500,10000,41.44982171058655,2,241.2555612379374
23,6000,10000,43.67961096763611,2,228.93976797113376
24,500,10000,33.15057015419006,3,301.65393697568277
25,1000,10000,33.4499831199646,3,298.95381304487137
26,1500,10000,31.51395082473755,3,317.31978182025614
27,2000,10000,34.206605434417725,3,292.3411976430225
28,2500,10000,36.52024602890015,3,273.82071829654546
29,3000,10000,38.05910038948059,3,262.7492478188992
30,3500,10000,42.56983017921448,3,234.9081487499729
31,4000,10000,41.939252614974976,3,238.44010983708768
32,4500,10000,36.45917510986328,3,274.27938152376646
33,5000,10000,45.09331130981445,3,221.76237915407918
34,5500,10000,48.90849328041077,3,204.46346491735582
35,6000,10000,45.895090103149414,3,217.88823112722858
36,500,10000,37.03229999542236,4,270.03453745071516
37,1000,10000,34.31270432472229,4,291.4372445075687
38,1500,10000,31.931565284729004,4,313.1697400622704
39,2000,10000,33.935532569885254,4,294.67638321003113
40,2500,10000,35.98737454414368,4,277.87523059604047
41,3000,10000,39.92631793022156,4,250.46136279024788
42,3500,10000,38.088600635528564,4,262.5457442159775
43,4000,10000,39.22435116767883,4,254.94366897877654
44,4500,10000,41.57807970046997,4,240.5113480959287
45,5000,10000,42.102524518966675,4,237.51544864002446
46,5500,10000,42.45239496231079,4,235.55797049561028
47,6000,10000,45.65770649909973,4,219.02107588775135
48,500,10000,38.718740701675415,5,258.2728626700219
49,1000,10000,32.848915815353394,5,304.42405028558227
50,1500,10000,33.507994413375854,5,298.4362440984579
51,2000,10000,37.50014615058899,5,266.6656273776399
52,2500,10000,37.41722917556763,5,267.2565612241997
53,3000,10000,36.43985152244568,5,274.4248283734183
54,3500,10000,42.268364667892456,5,236.58355554020562
55,4000,10000,40.09535789489746,5,249.40543057909954
56,4500,10000,43.39707899093628,5,230.43025550379912
57,5000,10000,42.603753089904785,5,234.72110494344125
58,5500,10000,44.72256588935852,5,223.60076621586336
59,6000,10000,49.80186700820923,5,200.79568499613924
60,500,10000,36.31949234008789,6,275.33424493828704
61,1000,10000,39.23353576660156,6,254.88398648262356
62,1500,10000,38.83100605010986,6,257.5261631670166
63,2000,10000,33.354727268218994,6,299.80757808588606
64,2500,10000,36.903881788253784,6,270.9742042145529
65,3000,10000,37.93357276916504,6,263.61872267746617
66,3500,10000,41.03211832046509,6,243.71152183513817
67,4000,10000,40.838446855545044,6,244.8672946689744
68,4500,10000,44.984254598617554,6,222.30000450662837
69,5000,10000,45.720770835876465,6,218.71897208157165
70,5500,10000,46.009002447128296,6,217.34876802624876
71,6000,10000,48.46052169799805,6,206.35353581868497
