,Number of claims per page,Number of pages,"Time, [s]",Run,Extra,Speed in pages per second
0,1,10000,41.21634221076965,1,0,242.62220914370812
1,3,10000,41.17786645889282,1,0,242.84891034805878
2,5,10000,44.68487215042114,1,0,223.789383716649
3,7,10000,45.67729902267456,1,0,218.9271304118907
4,9,10000,48.351337909698486,1,0,206.81950970366353
5,11,10000,49.85287618637085,1,0,200.59023199816653
6,13,10000,49.00825476646423,1,0,204.04725790894477
7,15,10000,52.79548716545105,1,0,189.41012834414985
8,17,10000,55.68985366821289,1,0,179.56592343692728
9,19,10000,55.72436571121216,1,0,179.45471199841626
10,21,10000,57.85463500022888,1,0,172.84699834266414
11,1,10000,36.940738677978516,2,0,270.7038450739292
12,3,10000,37.43101096153259,2,0,267.1581595879652
13,5,10000,39.40377497673035,2,0,253.78279126569566
14,7,10000,40.560272216796875,2,0,246.5466687834207
15,9,10000,42.92089366912842,2,0,232.98676111193532
16,11,10000,45.85820245742798,2,0,218.063497130822
17,13,10000,46.46080565452576,2,0,215.2351828411718
18,15,10000,48.76924014091492,2,0,205.04727920930856
19,17,10000,53.600571393966675,2,0,186.56517533179894
20,19,10000,55.12432312965393,2,0,181.4081231705961
21,21,10000,62.96043395996094,2,0,158.82990905620824
22,1,10000,44.40988087654114,1,1,225.1751142454055
23,3,10000,42.15624022483826,1,1,237.2128051900617
24,5,10000,43.00894618034363,1,1,232.50976571405272
25,7,10000,47.62808585166931,1,1,209.9601489579811
26,9,10000,47.99217367172241,1,1,208.3673073114445
27,11,10000,51.61931300163269,1,1,193.72594129030168
28,13,10000,54.6524178981781,1,1,182.97452124864472
29,15,10000,55.06188678741455,1,1,181.6138273395617
30,17,10000,58.84815454483032,1,1,169.9288631452671
31,19,10000,60.246248722076416,1,1,165.9854382989266
32,21,10000,63.73936319351196,1,1,156.8889223075561
33,1,10000,38.74797034263611,2,1,258.07803380598125
34,3,10000,38.57920169830322,2,1,259.2070224314625
35,5,10000,40.770018100738525,2,1,245.27828207706526
36,7,10000,43.255523443222046,2,1,231.18434835556144
37,9,10000,48.03323817253113,2,1,208.18917025916278
38,11,10000,49.25228977203369,2,1,203.03624554889578
39,13,10000,64.81924319267273,2,1,154.27517365908426
40,15,10000,59.35897517204285,2,1,168.4665203706186
41,17,10000,62.225176095962524,2,1,160.7066564918705
42,19,10000,62.24960517883301,2,1,160.64358916448745
43,21,10000,63.63668489456177,2,1,157.14206383580134
44,1,10000,41.81828713417053,1,2,239.12983255186475
45,3,10000,40.916425704956055,1,2,244.40062463199803
46,5,10000,42.80719542503357,1,2,233.60558664751997
47,7,10000,46.82894802093506,1,2,213.54312711721522
48,9,10000,53.08642768859863,1,2,188.37206486485243
49,11,10000,53.79056000709534,1,2,185.90622590062145
50,13,10000,59.83023762702942,1,2,167.13956682469058
51,15,10000,60.26315236091614,1,2,165.9388798665888
52,17,10000,58.53594374656677,1,2,170.83520585736719
53,19,10000,62.683435916900635,1,2,159.53177827164723
54,21,10000,66.55296969413757,1,2,150.2562552198308
55,1,10000,38.55486440658569,2,2,259.3706437284698
56,3,10000,36.04502296447754,2,2,277.4308122887042
57,5,10000,40.99943470954895,2,2,243.90580189318942
58,7,10000,48.796446084976196,2,2,204.93295726056724
59,9,10000,57.14856243133545,2,2,174.98252929835456
60,11,10000,60.212416648864746,2,2,166.07870197796723
61,13,10000,60.553879737854004,2,2,165.14218483260467
62,15,10000,60.04622840881348,2,2,166.5383532820226
63,17,10000,60.794641733169556,2,2,164.48818045331123
64,19,10000,64.1885633468628,2,2,155.79099264088373
65,21,10000,70.30939507484436,2,2,142.2285028815139
